"","citrus.fruit","semi.finished.bread","margarine","ready.soups"
"699","meat","other vegetables","hard cheese","frozen meals"
"700","bottled water","soda","",""
"701","dessert","candy","",""
"702","other vegetables","packaged fruit/vegetables","UHT-milk","bottled water"
"703","beverages","rolls/buns","soda",""
"704","ham","mustard","canned fish",""
"705","specialty bar","","",""
"706","brown bread","soda","salty snack","shopping bags"
"707","whole milk","cream cheese ","coffee",""
"708","rolls/buns","pastry","red/blush wine",""
"709","bottled beer","nut snack","",""
"710","pet care","bottled beer","",""
"711","citrus fruit","other vegetables","soda",""
"712","pork","other vegetables","frozen vegetables","hygiene articles"
"713","other vegetables","shopping bags","",""
"714","white wine","detergent","",""
"715","whole milk","dessert","bottled water",""
"716","pip fruit","white wine","shopping bags",""
"717","sugar","soda","bottled beer",""
"718","tropical fruit","pip fruit","rolls/buns","coffee"
"719","fruit/vegetable juice","candy","",""
"720","root vegetables","cream cheese ","spread cheese","frozen dessert"
"721","white bread","bottled water","soda","misc. beverages"
"722","fruit/vegetable juice","bottled beer","",""
"723","soda","misc. beverages","",""
"724","whole milk","curd","",""
"725","tropical fruit","other vegetables","yogurt","bottled water"
"726","male cosmetics","","",""
"727","white bread","brown bread","",""
"728","brown bread","sugar","hygiene articles",""
"729","tropical fruit","root vegetables","coffee","bottled water"
"730","red/blush wine","candy","house keeping products","shopping bags"
"731","domestic eggs","","",""
"732","coffee","detergent","hygiene articles","photo/film"
"733","soda","","",""
"734","whole milk","","",""
"735","bottled beer","","",""
"736","pork","beef","berries","packaged fruit/vegetables"
"737","whole milk","mayonnaise","frozen fish","frozen potato products"
"738","oil","mustard","cat food","coffee"
"739","soda","chocolate","dish cleaner","napkins"
"740","newspapers","","",""
"741","other vegetables","yogurt","",""
"742","yogurt","bottled water","dishes",""
"743","sparkling wine","","",""
"744","bottled water","candy","",""
"745","citrus fruit","berries","other vegetables","butter milk"
"746","sugar","fruit/vegetable juice","hygiene articles",""
"747","hamburger meat","root vegetables","other vegetables","whole milk"
"748","rolls/buns","","",""
"749","packaged fruit/vegetables","seasonal products","",""
"750","other vegetables","margarine","",""
"751","soda","","",""
"752","whole milk","yogurt","frozen potato products","margarine"
"753","bottled water","fruit/vegetable juice","salty snack",""
"754","herbs","yogurt","",""
"755","citrus fruit","spread cheese","rolls/buns","soda"
"756","misc. beverages","","",""
"757","female sanitary products","","",""
"758","soda","","",""
"759","tropical fruit","whole milk","beverages","white bread"
"760","pasta","shopping bags","",""
"761","soda","female sanitary products","",""
"762","white bread","bottled water","soda","waffles"
"763","coffee","chewing gum","chocolate marshmallow",""
"764","tropical fruit","root vegetables","whole milk","frozen vegetables"
"765","honey","baking powder","coffee","red/blush wine"
"766","chocolate marshmallow","","",""
"767","pork","pip fruit","whole milk","butter milk"
"768","citrus fruit","bottled water","",""
"769","frankfurter","","",""
"770","frankfurter","rolls/buns","",""
"771","frankfurter","tropical fruit","pip fruit","curd"
"772","UHT-milk","hard cheese","domestic eggs","rolls/buns"
"773","hygiene articles","napkins","shopping bags",""
"774","other vegetables","","",""
"775","yogurt","fruit/vegetable juice","newspapers",""
"776","sausage","whole milk","yogurt","brown bread"
"777","cereals","bottled water","soda",""
"778","whole milk","","",""
"779","pip fruit","whole milk","curd","pastry"
"780","bottled water","","",""
"781","whole milk","","",""
"782","root vegetables","other vegetables","",""
"783","onions","fruit/vegetable juice","",""
"784","specialty chocolate","","",""
"785","hamburger meat","domestic eggs","",""
"786","photo/film","","",""
"787","rolls/buns","soda","snack products","newspapers"
"788","canned beer","","",""
"789","canned beer","","",""
"790","other vegetables","curd","frozen meals","frozen potato products"
"791","soda","bottled beer","kitchen towels","candles"
"792","canned beer","","",""
"793","curd","whipped/sour cream","rolls/buns","zwieback"
"794","spices","","",""
"795","butter","fruit/vegetable juice","newspapers",""
"796","other vegetables","whole milk","yogurt","domestic eggs"
"797","bottled water","soda","",""
"798","whole milk","","",""
"799","beef","tropical fruit","herbs","whole milk"
"800","curd","yogurt","whipped/sour cream","sliced cheese"
"801","sausage","rolls/buns","",""
"802","soda","","",""
"803","fruit/vegetable juice","long life bakery product","",""
"804","rolls/buns","coffee","long life bakery product","detergent"
"805","shopping bags","","",""
"806","pip fruit","whole milk","bottled water","candy"
"807","frozen vegetables","bottled beer","liquor (appetizer)","chewing gum"
"808","napkins","newspapers","",""
"809","beverages","","",""
"810","hamburger meat","root vegetables","other vegetables","domestic eggs"
"811","roll products ","oil","margarine","hygiene articles"
"812","root vegetables","other vegetables","whole milk","yogurt"
"813","fruit/vegetable juice","white wine","",""
"814","canned beer","","",""
"815","frozen vegetables","bottled beer","",""
"816","canned beer","","",""
"817","newspapers","","",""
"818","rolls/buns","","",""
"819","hamburger meat","UHT-milk","salty snack",""
"820","pip fruit","whole milk","curd","rum"
"821","canned beer","","",""
"822","grapes","root vegetables","frozen vegetables","domestic eggs"
"823","white wine","","",""
"824","root vegetables","packaged fruit/vegetables","butter","whipped/sour cream"
"825","rolls/buns","","",""
"826","citrus fruit","frozen vegetables","rolls/buns","canned beer"
"827","salty snack","","",""
"828","cling film/bags","pot plants","",""
"829","frankfurter","whole milk","rolls/buns","margarine"
"830","baking powder","bottled beer","",""
"831","whole milk","red/blush wine","",""
"832","pork","tropical fruit","whole milk","curd"
"833","yogurt","hard cheese","frozen meals","frozen dessert"
"834","domestic eggs","cereals","baking powder","fruit/vegetable juice"
"835","soap","","",""
"836","chicken","pastry","",""
"837","sausage","dish cleaner","dishes",""
"838","specialty bar","","",""
"839","whipped/sour cream","pastry","specialty bar",""
"840","root vegetables","brown bread","",""
"841","rolls/buns","soda","",""
"842","other vegetables","bottled beer","red/blush wine",""
"843","citrus fruit","tropical fruit","berries","root vegetables"
"844","other vegetables","whole milk","butter","bottled water"
"845","rubbing alcohol","hygiene articles","napkins",""
"846","whole milk","processed cheese","brown bread","pastry"
"847","soda","","",""
"848","frankfurter","sausage","tropical fruit","root vegetables"
"849","whole milk","yogurt","rolls/buns","pastry"
"850","candy","","",""
"851","coffee","long life bakery product","",""
"852","ham","rolls/buns","white wine",""
"853","canned beer","","",""
"854","canned beer","","",""
"855","canned beer","","",""
"856","pip fruit","whole milk","canned fish",""
"857","pork","pip fruit","other vegetables","whole milk"
"858","curd","white bread","sugar","bottled water"
"859","soda","","",""
"860","soap","","",""
"861","pip fruit","butter","frozen meals","pasta"
"862","bottled water","","",""
"863","beef","hamburger meat","citrus fruit","whole milk"
"864","mustard","soap","",""
"865","sausage","meat","other vegetables","whole milk"
"866","yogurt","rolls/buns","soda","bottled beer"
"867","chocolate","newspapers","",""
"868","frozen chicken","","",""
"869","soda","","",""
"870","tropical fruit","curd","yogurt","rolls/buns"
"871","brown bread","bottled water","bottled beer","seasonal products"
"872","other vegetables","","",""
"873","beef","citrus fruit","curd","rolls/buns"
"874","oil","margarine","specialty bar","detergent"
"875","newspapers","","",""
"876","meat","pork","beef","citrus fruit"
"877","root vegetables","other vegetables","whole milk","pickled vegetables"
"878","meat","hamburger meat","root vegetables","packaged fruit/vegetables"
"879","whole milk","butter","newspapers",""
"880","bottled water","soda","red/blush wine","long life bakery product"
"881","newspapers","","",""
"882","rolls/buns","","",""
"883","pastry","canned beer","",""
"884","pork","whole milk","pastry","sauces"
"885","pip fruit","sliced cheese","pastry","white wine"
"886","light bulbs","newspapers","",""
"887","beef","citrus fruit","tropical fruit","yogurt"
"888","UHT-milk","frozen vegetables","rolls/buns","bottled water"
"889","skin care","","",""
"890","beef","citrus fruit","berries","brown bread"
"891","sugar","coffee","kitchen towels",""
"892","rolls/buns","spices","",""
"893","citrus fruit","tropical fruit","herbs","whole milk"
"894","butter","curd","whipped/sour cream","frozen vegetables"
"895","canned vegetables","misc. beverages","",""
"896","meat","beef","herbs","whole milk"
"897","frozen dessert","rolls/buns","semi-finished bread","flour"
"898","oil","coffee","pot plants",""
"899","beverages","pastry","bottled water",""
"900","beef","citrus fruit","other vegetables","rolls/buns"
"901","ham","whole milk","white bread","margarine"
"902","hair spray","","",""
"903","hamburger meat","whole milk","oil","ketchup"
"904","soups","Instant food products","canned fish","coffee"
"905","bottled beer","hygiene articles","newspapers",""
"906","beef","citrus fruit","other vegetables","butter milk"
"907","sliced cheese","processed cheese","rolls/buns","margarine"
"908","bottled water","fruit/vegetable juice","",""
"909","beef","citrus fruit","whole milk","domestic eggs"
"910","rolls/buns","pastry","roll products ","tea"
"911","fruit/vegetable juice","","",""
"912","root vegetables","whole milk","detergent",""
"913","citrus fruit","tropical fruit","grapes","other vegetables"
"914","frozen vegetables","pickled vegetables","fruit/vegetable juice","liquor"
"915","rum","liquor (appetizer)","candy","cling film/bags"
"916","yogurt","bottled water","",""
"917","tropical fruit","root vegetables","other vegetables","whipped/sour cream"
"918","brown bread","canned fish","long life bakery product",""
"919","frankfurter","root vegetables","newspapers",""
"920","beef","other vegetables","whole milk","brown bread"
"921","pastry","salty snack","abrasive cleaner","shopping bags"
"922","shopping bags","","",""
"923","canned beer","","",""
"924","rolls/buns","canned beer","",""
"925","other vegetables","rolls/buns","meat spreads","bottled water"
"926","soda","misc. beverages","waffles","chocolate"
"927","candy","","",""
"928","hamburger meat","other vegetables","yogurt","rolls/buns"
"929","bottled water","","",""
"930","hamburger meat","citrus fruit","root vegetables","rolls/buns"
"931","Instant food products","canned fish","bottled water","soda"
"932","fruit/vegetable juice","napkins","",""
"933","frankfurter","sausage","domestic eggs","soda"
"934","chewing gum","shopping bags","",""
"935","bottled beer","","",""
"936","tropical fruit","domestic eggs","rolls/buns","pastry"
"937","soda","","",""
"938","frankfurter","root vegetables","onions","other vegetables"
"939","white bread","canned beer","",""
"940","chicken","hamburger meat","herbs","whipped/sour cream"
"941","soups","soda","canned beer","dish cleaner"
"942","napkins","cling film/bags","",""
"943","coffee","soda","",""
"944","whole milk","","",""
"945","margarine","","",""
"946","tropical fruit","other vegetables","",""
"947","meat","other vegetables","",""
"948","cream cheese ","bottled water","canned beer",""
"949","newspapers","","",""
"950","rolls/buns","pastry","newspapers",""
"951","citrus fruit","other vegetables","whole milk","curd"
"952","yogurt","potato products","fruit/vegetable juice","long life bakery product"
"953","whole milk","rolls/buns","detergent",""
"954","frankfurter","citrus fruit","butter milk","UHT-milk"
"955","rolls/buns","female sanitary products","shopping bags",""
"956","ham","other vegetables","butter","whipped/sour cream"
"957","sugar","soda","",""
"958","frankfurter","citrus fruit","bottled beer","salty snack"
"959","sausage","onions","curd","yogurt"
"960","domestic eggs","coffee","",""
"961","domestic eggs","","",""
"962","whole milk","domestic eggs","rolls/buns","soda"
